Empresa,Código(s),CNPJ,Banco escriturador
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,"BRSR3
BRSR5
BRSR6",92.702.067/0001-96,BANRISUL
BANCO DO NORDESTE DO BRASIL S.A.,BNBR3,07.237.373/0001-20,BANCO DO NORDESTE DO BRASIL S.A.
BANCO INTER S.A.,"BIDI3
BIDI4
BIDI11",00.416.968/0001-01,BRADESCO
BANCO MERCANTIL DO BRASIL S.A.,"BMEB3
BMEB4",17.184.037/0001-10,BANCO MERCANTIL DO BRASIL S.A.
BANCO MODAL S.A.,"MODL3
MODL4
MODL11",30.723.886/0001-62,ITAÚ CORRETORA DE AÇÕES
BANCO PAN,BPAN4,59.285.411/0001-13,ITAÚ CORRETORA DE AÇÕES
BANCO PINE S.A.,"PINE3
PINE4",62.144.175/0001-20,ITAÚ CORRETORA DE AÇÕES
BB SEGURIDADE PARTICIPAÇÕES S.A.,BBSE3,17.344.597/0001-94,BANCO DO BRASIL
BEMOBI MOBILE TECH S.A.,BMOB3,09.042.817/0001-05,ITAÚ CORRETORA DE AÇÕES
BK BRASIL OPERAÇÕES E ASSESSORIA A RESTAURANTES SA,BKBR3,13.574.594/0001-96,ITAÚ CORRETORA DE AÇÕES
BLAU FARMACÊUTICA S.A.,BLAU3,58.430.828/0001-60,ITAÚ CORRETORA DE AÇÕES
BANCO BMG S.A.,BMGB4,61.186.680/0001-74,BRADESCO
BOA SAFRA SEMENTES S.A.,SOJA3,10.807.374/0001-77,ITAÚ CORRETORA DE AÇÕES
BOA VISTA SERVIÇOS S.A.,BOAS3,11.725.176/0001-27,ITAÚ CORRETORA DE AÇÕES
BOMBRIL S.A.,"BOBR3
BOBR4",50.564.053/0001-03,BRADESCO
BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.,BRBI11,10.739.356/0001-03,ITAÚ CORRETORA DE AÇÕES
BR MALLS PARTICIPAÇÕES S.A.,BRML3,06.977.745/0001-91,ITAÚ CORRETORA DE AÇÕES
BR PROPERTIES S.A.,BRPR3,06.977.751/0001-49,ITAÚ CORRETORA DE AÇÕES
BRADESPAR S.A.,"BRAP3
BRAP4",03.847.461/0001-92,BRADESCO
BRASIL BROKERS PARTICIPAÇÕES S.A.,BBRK3,08.613.550/0001-98,ITAÚ CORRETORA DE AÇÕES
BRASILAGRO – COMPANHIA BRASILEIRA DE PROPRIEDADES AGRÍCOLAS,AGRO3,07.628.528/0001-59,ITAÚ CORRETORA DE AÇÕES
BRASKEM S.A.,"BRKM3
BRKM5
BRKM6",42.150.391/0001-70,ITAÚ CORRETORA DE AÇÕES
BRF S.A.,BRFS3,01.838.723/0001-27,ITAÚ CORRETORA DE AÇÕES
BRISANET PARTICIPAÇÕES S.A.,BRIT3,19.796.586/0001-70,BRADESCO
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,CXSE3,22.543.331/0001-00,BRADESCO
CAMIL ALIMENTOS S.A.,CAML3,64.904.295/0001-03,BRADESCO
CCR S.A.,CCRO3,02.846.056/0001-97,ITAÚ CORRETORA DE AÇÕES
C&A MODAS S.A.,CEAB3,45.242.914/0001-05,BRADESCO
CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS,"ELET3
ELET5
ELET6",00.001.180/0001-26,BRADESCO
CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.,"CLSC3
CLSC4",83.878.892/0001-55,ITAÚ CORRETORA DE AÇÕES
CENTRO DE IMAGEM DIAGNÓSTICOS S.A.,AALR3,42.771.949/0001-35,ITAÚ CORRETORA DE AÇÕES
CIA SIDERURGICA NACIONAL,CSNA3,33.042.730/0001-04,BRADESCO
CIA FERRO LIGAS DA BAHIA – FERBASA,"FESA3
FESA4",15.141.799/0001-03,ITAÚ CORRETORA DE AÇÕES
CIA GAS DE SAO PAULO – COMGAS,"CGAS3
CGAS5",61.856.571/0001-17,ITAÚ CORRETORA DE AÇÕES
CIELO S.A.,CIEL3,01.027.058/0001-91,BRADESCO
CLEAR SALE S.A.,CLSA3,03.802.115/0001-98,ITAÚ CORRETORA DE AÇÕES
CM HOSPITALAR S.A.,VVEO3,12.420.164/0001-57,ITAÚ CORRETORA DE AÇÕES
COGNA EDUCAÇÃO S.A.,COGN3,02.800.026/0001-40,BRADESCO
COMPANHIA BRASILEIRA DE ALUMÍNIO,CBAV3,61.409.892-0001-73,ITAÚ CORRETORA DE AÇÕES
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,PCAR3,47.508.411/0001-56,ITAÚ CORRETORA DE AÇÕES
COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO,SBSP3,43.776.517/0001-80,BRADESCO
COMPANHIA DE SANEAMENTO DE MINAS GERAIS – COPASA MG,CSMG3,17.281.106/0001-03,BRADESCO
COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR,"SAPR3
SAPR4
SAPR11",76.484.013/0001-45,BRADESCO
COMPANHIA ENERGÉTICA DE MINAS GERAIS – CEMIG,"CMIG3
CMIG4",17.155.730/0001-64,ITAÚ CORRETORA DE AÇÕES
COMPANHIA ENERGÉTICA DE SÃO PAULO – CESP,"CESP3
CESP5
CESP6",60.933.603/0001-78,ITAUBANCO – AÇÕES
COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELÉTRICA – CEEE-T,"EEEL3
EEEL4",92.715.812/0001-31,ITAÚ CORRETORA DE AÇÕES
COMPANHIA FIAÇÃO TECIDOS CEDRO CACHOEIRA,"CEDO3
CEDO4",17.245.234/0001-00,BRADESCO
COMPANHIA LOCAÇÃO DAS AMÉRICAS,LCAM3,10.215.988/0001-60,ITAÚ CORRETORA DE AÇÕES
COMPANHIA PARAENSE DE ENERGIA – COPEL,"CPLE3
CPLE5
CPLE6
CPLE11",76.483.817/0001-20,BRADESCO
COMPANHIA TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA,"TRPL3
TRPL4",02.998.611/0001-04,ITAÚ CORRETORA DE AÇÕES
CONSTRUTORA TENDA S.A.,TEND3,71.476.527/0001-35,ITAÚ CORRETORA DE AÇÕES
COSAN S.A.,CSAN3,50.746.577/0001-15,ITAÚ CORRETORA DE AÇÕES
CPFL ENERGIA S.A.,CPFE3,02.429.144/0001-93,BANCO DO BRASIL
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,62.984.091/0001-02,BRADESCO
CSN MINERAÇÃO S.A.,CMIN3,08.902.291/0001-15,BRADESCO
CSU CARDSYSTEM S.A.,CARD3,01.896.779/0001-38,ITAÚ CORRETORA DE AÇÕES
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,08.797.760/0001-83,ITAÚ CORRETORA DE AÇÕES
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,CVCB3,10.760.260/0001-19,BRADESCO
CYRELA BRAZIL REALTY S.A. EMPREENDIMENTOS E PARTICIPAÇÕES,CYRE3,73.178.600/0001-18,BRADESCO
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,12.108.897/0001-50,BRADESCO
DESKTOP – SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.,DESK3,08.170.849/0001-15,ITAÚ CORRETORA DE AÇÕES
DEXCO S.A.,DXCO3,97.837.181/0001-47,ITAÚ CORRETORA DE AÇÕES
DEXXOS PARTICIPAÇÕES S.A.,"DEXP3
DEXP4",02.193.750/0001-52,ITAÚ CORRETORA DE AÇÕES
DIAGNÓSTICOS DA AMÉRICA S.A.,DASA3,61.486.650/0001-83,ITAÚ CORRETORA DE AÇÕES
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,PNVL3,92.665.611/0001-77,BRADESCO
DIRECIONAL ENGENHARIA S.A.,DIRR3,16.614.075/0001-00,BRADESCO
DOTZ S.A.,DOTZ3,18.174.270/0001-84,ITAÚ CORRETORA DE AÇÕES
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,ECOR3,04.149.454/0001-80,ITAÚ CORRETORA DE AÇÕES
EDP – ENERGIAS DO BRASIL S.A.,ENBR3,03.983.431/0001-03,ITAÚ CORRETORA DE AÇÕES
ELETROMIDIA S.A.,ELMD3,09.347.516/0001-81,ITAÚ CORRETORA DE AÇÕES
EMBRAER S.A.,EMBR3,07.689.002/0001-89,ITAÚ CORRETORA DE AÇÕES
EMPREENDIMENTOS PAGUE MENOS S.A.,PGMN3,06.626.253/0001-51,ITAÚ CORRETORA DE AÇÕES
ENAUTA PARTICIPAÇÕES S.A.,ENAT3,11.669.021/0001-10,ITAÚ CORRETORA DE AÇÕES
ENERGISA S.A.,"ENGI3
ENGI4
ENGI11",00.864.214/0001-06,ITAÚ CORRETORA DE AÇÕES
ENEVA S.A.,ENEV3,04.423.567/0001-21,ITAÚ CORRETORA DE AÇÕES
ENGIE BRASIL ENERGIA S.A.,EGIE3,02.474.103/0001-19,ITAÚ CORRETORA DE AÇÕES
ENJOEI S.A.,ENJU3,16.922.038/0001-51,BRADESCO
EQUATORIAL ENERGIA S.A.,EQTL3,03.220.438/0001-73,ITAÚ CORRETORA DE AÇÕES
ETERNIT S.A.,ETER3,61.092.037/0001-81,ITAÚ CORRETORA DE AÇÕES
EUCATEX S.A. INDÚSTRIA E COMÉRCIO,"EUCA3
EUCA4",56.643.018/0001-66,BRADESCO
EVEN CONSTRUTORA E INCORPORADORA S.A.,EVEN3,43.470.988/0001-65,ITAÚ CORRETORA DE AÇÕES
EZ TEC EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,EZTC3,08.312.229/0001-73,ITAÚ CORRETORA DE AÇÕES
FERTILIZANTES HERINGER S.A.,FHER3,22.266.175/0001-88,ITAÚ CORRETORA DE AÇÕES
FLEURY S.A.,FLRY3,60.840.055/0001-31,BRADESCO
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A.,POWE3,26.735.020/0001-02,BRADESCO
FRAS-LE S.A.,FRAS3,88.610.126/0001-29,BRADESCO
GAFISA S.A.,GFSA3,01.545.826/0001-07,ITAÚ CORRETORA DE AÇÕES
GERDAU S.A.,"GGBR3
GGBR4",33.611.500/0001-19,ITAÚ CORRETORA DE AÇÕES
GETNINJAS S.A.,NINJ3,14.127.813/0001-51,ITAÚ CORRETORA DE AÇÕES
GOL LINHAS AÉREAS INTELIGENTES S.A.,GOLL4,06.164.253/0001-87,ITAÚ CORRETORA DE AÇÕES
GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,GGPS3,09.229.201/0001-30,ITAÚ CORRETORA DE AÇÕES
GRENDENE S.A.,GRND3,89.850.341/0001-60,BRADESCO
GRUPO DE MODA SOMA S.A.,SOMA3,10.285.590/0001-08,ITAÚ CORRETORA DE AÇÕES
GRUPO MATEUS S.A.,GMAT3,24.990.777/0001-09,ITAÚ CORRETORA DE AÇÕES
GRUPO SBF SA,SBFG3,13.217.485/0001-11,BRADESCO
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS SA,HAPV3,05.197.443/0001-38,ITAÚ CORRETORA DE AÇÕES
HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S/A,HBRE3,14.785.152/0001-51,BRADESCO
HELBOR EMPREENDIMENTOS S.A.,HBOR3,49.263.189/0001-02,BRADESCO
HIDROVIAS DO BRASIL S.A.,HBSA3,12.648.327/0001-53,ITAÚ CORRETORA DE AÇÕES
HOSPITAL MATER DEI S/A,MATD3,16.676.520/0001-59,ITAÚ CORRETORA DE AÇÕES
HYPERA S.A.,HYPE3,02.932.074/0001-91,BRADESCO
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A.,IGTA3,51.218.147/0001-93,ITAÚ CORRETORA DE AÇÕES
INDÚSTRIAS ROMI S.A.,ROMI3,56.720.428/0001-63,BRADESCO
INFRACOMMERCE CXAAS S.A.,IFCM3,38.546.921/0001-36,ITAÚ CORRETORA DE AÇÕES
INSTITUTO HERMES PARDINI S.A.,PARD3,19.378.769/0001-76,ITAÚ CORRETORA DE AÇÕES
INTELBRAS S.A. INDÚSTRIA DE TELECOMUNICAÇÕES ELETRÔNICA BRASILEIRA,INTB3,82.901.000/0001-27,ITAÚ CORRETORA DE AÇÕES
INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,MEAL3,17.314.329/0001-20,ITAÚ CORRETORA DE AÇÕES
IOCHPE MAXION S.A.,MYPK3,61.156.113/0001-75,ITAÚ CORRETORA DE AÇÕES
IRANI PAPEL E EMBALAGEM S.A.,RANI3,92.791.243/0001-03,ITAÚ CORRETORA DE AÇÕES
IRB – BRASIL RESSEGUROS S.A.,IRBR3,33.376.989/0001-91,BANCO DO BRASIL
ITAÚ UNIBANCO HOLDING S.A.,"ITUB3
ITUB4",60.872.504/0001-23,ITAÚ CORRETORA DE AÇÕES
ITAUSA S.A.,"ITSA3
ITSA4",61.532.644/0001-15,ITAÚ CORRETORA DE AÇÕES
JALLES MACHADO S.A.,JALL3,02.635.522/0001-95,ITAÚ CORRETORA DE AÇÕES
JBS S.A.,JBSS3,02.916.265/0001-60,BRADESCO
JHSF PARTICIPAÇÕES S.A.,JHSF3,08.294.224/0001-65,BRADESCO
JSL S.A.,JSLG3,52.548.435/0001-79,BRADESCO
KLABIN S.A.,"KLBN3
KLBN4
KLBN11",89.637.490/0001-45,ITAÚ CORRETORA DE AÇÕES
KORA SAÚDE PARTICIPAÇÕES S.A.,KRSA3,13.270.520/0001-66,ITAÚ CORRETORA DE AÇÕES
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,26.462.693/0001-28,ITAÚ CORRETORA DE AÇÕES
LIGHT S.A.,LIGT3,03.378.521/0001-75,BRADESCO
LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S/A,LVTC3,05.917.486/0001-40,BRADESCO
LOCALIZA RENT A CAR S.A.,RENT3,16.670.085/0001-55,BRADESCO
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,02.351.877/0001-52,ITAÚ CORRETORA DE AÇÕES
LOG COMMERCIAL PROPERTIES,LOGG3,09.041.168/0001-10,BRADESCO
LOG-IN LOGÍSTICA INTERMODAL S.A.,LOGN3,42.278.291/0001-24,ITAÚ CORRETORA DE AÇÕES
LOJAS AMERICANAS S.A.,"LAME3
LAME4",33.014.556/0001-96,ITAÚ UNIBANCO S.A.
LOJAS QUERO-QUERO S.A.,LJQQ3,96.418.264/0218-02,ITAÚ CORRETORA DE AÇÕES
LOJAS RENNER S.A.,LREN3,92.754.738/0001-62,ITAÚ CORRETORA DE AÇÕES
LPS BRASIL – CONSULTORIA DE IMÓVEIS S.A.,LPSB3,08.078.847/0001-09,BRADESCO
LUPATECH S.A.,"LUPA3
LUPA11",89.463.822/0001-12,BRADESCO
M. DIAS BRANCO S.A. INDÚSTRIA E COMÉRCIO DE ALIMENTOS,MDIA3,07.206.816/0001-15,BRADESCO
MAGAZINE LUIZA S.A.,MGLU3,47.960.950/0001-21,ITAÚ CORRETORA DE AÇÕES
MAHLE-METAL LEVE S.A.,LEVE3,60.476.884/0001-87,ITAÚ CORRETORA DE AÇÕES
MARCOPOLO S.A.,"POMO3
POMO4",88.611.835/0001-29,BRADESCO
MARFRIG GLOBAL FOODS S.A.,MRFG3,03.853.896/0001-40,BRADESCO
MARISA LOJAS S.A.,AMAR3,61.189.288/0001-89,BRADESCO
MÉLIUZ S.A.,CASH3,14.110.585/0001-07,ITAÚ CORRETORA DE AÇÕES
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,12.181.987/0001-77,ITAÚ CORRETORA DE AÇÕES
METALFRIO SOLUTIONS S.A.,FRIO3,04.821.041/0001-08,ITAÚ CORRETORA DE AÇÕES
METALÚRGICA GERDAU S.A.,"GOAU3
GOAU4",92.690.783/0001-09,ITAÚ CORRETORA DE AÇÕES
METISA METALURGICA TIMBOENSE S.A.,"MTSA3
MTSA4",86.375.425/0001-09,ITAÚ CORRETORA DE AÇÕES
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,MILS3,27.093.558/0001-15,ITAÚ CORRETORA DE AÇÕES
MINERVA S.A.,"BEEF3
BEEEF11",67.620.377/0001-14,ITAÚ CORRETORA DE AÇÕES
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MTRE3,07.882.930/0001-65,ITAÚ CORRETORA DE AÇÕES
MMX MINERAÇÃO E METÁLICOS S.A.,"MMXM3
MMXM11",02.762.115/0001-49,EMPRESA
MOBLY S.A.,MBLY3,31.553.627/0001-01,ITAÚ CORRETORA DE AÇÕES
MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.,MOSI3,09.083.175/0001-84,ITAÚ CORRETORA DE AÇÕES
MOURA DUBEUX ENGENHARIA S/A,MDNE3,12.049.631/0001-84,ITAÚ CORRETORA DE AÇÕES
MOVIDA PARTICIPAÇÕES S.A.,MOVI3,21.314.559/0001-66,BRADESCO
MPM CORPÓREOS S.A.,ESPA3,26.659.061/0001-59,ITAÚ CORRETORA DE AÇÕES
MRV ENGENHARIA E PARTICIPAÇÕES S.A.,MRVE3,08.343.492/0001-20,BRADESCO
MULTILASER INDUSTRIAL S.A.,MLAS3,59.717.553/0001-02,ITAÚ CORRETORA DE AÇÕES
MULTIPLAN – EMPREENDIMENTOS IMOBILIÁRIOS S.A.,MULT3,07.816.890/0001-53,ITAÚ CORRETORA DE AÇÕES
NATURA & CO HOLDING S.A.,NTCO3,32.785.497/0001-97,ITAÚ CORRETORA DE AÇÕES
NEOENERGIA S.A.,NEOE3,01.083.200/0001-18,ITAÚ CORRETORA DE AÇÕES
NEOGRID PATICIPAÇÕES S.A.,NGRD3,10.139.870/0001-08,ITAÚ CORRETORA DE AÇÕES
NORDON INDUSTRIAS METALURGICAS S.A.,NORD3,60.884.319/0001-59,BRADESCO
NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.,GNDI3,19.853.511/0001-84,ITAÚ CORRETORA DE AÇÕES
OCEANPACT SERVIÇOS MARÍTIMOS S.A.,OPCT3,09.114.805/0001-30,ITAÚ CORRETORA DE AÇÕES
ODONTOPREV S.A.,ODPV3,58.119.199/0001-51,BRADESCO
OI S.A.,"OIBR3
OIBR4",76.535.764/0001-43,BANCO DO BRASIL
OMEGA GERAÇÃO S.A.,OMGE3,09.149.503/0001-06,ITAÚ CORRETORA DE AÇÕES
ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.,ONCO3,12.104.241/0004-02,ITAÚ CORRETORA DE AÇÕES
ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,ORVR3,11.421.994/0001-36,BANCO DO BRASIL
OSX BRASIL S.A.,OSXB3,09.112.685/0001-32,ITAÚ CORRETORA DE AÇÕES
OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.,OFSA3,20.258.278/0001-70,BRADESCO
PADTEC HOLDING S.A.,PDTC3,02.365.069/0001-44,ITAUBANCO – AÇÕES
PARANAPANEMA S.A.,PMAM3,60.398.369/0004-79,BRADESCO
PBG S/A,PTBL3,83.475.913/0001-91,ITAÚ CORRETORA DE AÇÕES
PETRÓLEO BRASILEIRO S.A. PETROBRAS,"PETR3
PETR4",33.000.167/0001-01,BRADESCO
PDG REALTY S.A. EMPREENDIMENTOS E PARTICIPAÇÕES,PDGR3,02.950.811/0001-89,ITAÚ CORRETORA DE AÇÕES
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,PETZ3,18.328.118/0001-09,ITAÚ CORRETORA DE AÇÕES
PETRO RIO S.A.,PRIO3,10.629.105/0001-68,BANCO DO BRASIL
PETRORECÔNCAVO S.A.,RECV3,03.342.704/0001-30,ITAÚ CORRETORA DE AÇÕES
PLANO E PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,24.230.275/0001-80,ITAÚ CORRETORA DE AÇÕES
POMIFRUTAS S/A,FRTA3,86.550.951/0001-50,POMI FRUTAS S.A.
PORTO SEGURO S.A.,PSSA3,02.149.205/0001-69,ITAÚ CORRETORA DE AÇÕES
POSITIVO TECNOLOGIA S.A.,POSI3,81.243.735/0001-48,ITAÚ CORRETORA DE AÇÕES
PRINER SERVIÇOS INDUSTRIAIS S.A.,PRNR3,18.593.815/0001-97,ITAÚ CORRETORA DE AÇÕES
PROFARMA DISTRIBUIDORA DE PRODUTOS FARMACÊUTICOS S.A.,PFRM3,45.453.214/0001-51,ITAÚ CORRETORA DE AÇÕES
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL3,11.992.680/0001-93,BRADESCO
RAIA DROGASIL S.A.,RADL3,61.585.865/0001-51,ITAÚ CORRETORA DE AÇÕES
RAIZEN S.A.,RAIZ4,33.453.598/0001-23,ITAÚ CORRETORA DE AÇÕES
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,"RAPT3
RAPT4",89.086.144/0001-16,BRADESCO
REDE DOR SÃO LUIZ S.A.,RDOR3,06.047.087/0001-39,ITAÚ CORRETORA DE AÇÕES
RENOVA ENERGIA S.A.,"RNEW3
RNEW4
RNEW11",08.534.605/0001-74,ITAÚ CORRETORA DE AÇÕES
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,LLIS3,49.669.856/0001-43,ITAÚ CORRETORA DE AÇÕES
RIO PARANAPANEMA ENERGIA S.A.,"GEPA3
GEPA4",02.998.301/0001-81,ITAÚ CORRETORA DE AÇÕES
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,RDNI3,67.010.660/0001-24,BRADESCO
ROSSI RESIDENCIAL S.A.,RSID3,61.065.751/0001-80,BRADESCO
RUMO S.A.,RAIL3,02.387.241/0001-60,ITAÚ CORRETORA DE AÇÕES
SANTOS BRASIL PARTICIPAÇÕES S.A.,STBP3,02.762.121/0001-04,ITAÚ CORRETORA DE AÇÕES
SÃO CARLOS EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,SCAR3,29.780.061/0001-09,ITAÚ CORRETORA DE AÇÕES
SÃO MARTINHO S.A.,SMTO3,51.466.860/0001-56,BRADESCO
SARAIVA LIVREIROS S.A.,"SLED3
SLED4
SLED11",60.500.139/0001-26,ITAÚ CORRETORA DE AÇÕES
SENDAS DISTRIBUIDORA S.A.,ASAI3,06.057.223/0001-71,ITAÚ CORRETORA DE AÇÕES
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,SEQL3,01.599.101/0001-93,ITAÚ CORRETORA DE AÇÕES
SER EDUCACIONAL S.A.,SEER3,04.986.320/0001-13,ITAÚ CORRETORA DE AÇÕES
SCHULZ S.A.,"SHUL3
SHUL4",84.693.183/0001-68,BRADESCO
SIMPAR S.A.,SIMH3,07.415.333/0001-20,BRADESCO
SINQIA S.A.,SQIA3,04.065.791/0001-99,BRADESCO
SLC AGRÍCOLA S.A.,SLCE3,89.096.457/0001-55,ITAÚ CORRETORA DE AÇÕES
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,07.594.978/0001-79,ITAÚ CORRETORA DE AÇÕES
SPRINGS GLOBAL PARTICIPAÇÕES S.A.,SGPS3,07.718.269/0001-57,ITAÚ CORRETORA DE AÇÕES
SUL AMERICA S.A.,"SULA3
SULA4
SULA11",29.978.814/0001-87,ITAÚ CORRETORA DE AÇÕES
SUZANO S.A.,SUZB3,16.404.287/0001-55,ITAÚ CORRETORA DE AÇÕES
SYN PROP E TECH S.A.,SYNE3,08.801.621/0001-86,BRADESCO
T4F ENTRETENIMENTO S.A.,SHOW3,02.860.694/0001-62,BRADESCO
TAURUS ARMAS S.A.,"TASA3
TASA4",92.781.335/0001-02,ITAÚ CORRETORA DE AÇÕES
TC TRADERS CLUB S.A.,TRAD3,26.345.998/0001-50,ITAÚ CORRETORA DE AÇÕES
TECHNOS S.A.,TECN3,09.295.063/0001-97,ITAÚ CORRETORA DE AÇÕES
TECNISA S.A.,TCSA3,08.065.557/0001-12,ITAÚ CORRETORA DE AÇÕES
TEGMA GESTÃO LOGÍSTICA S.A.,TGMA3,02.351.144/0001-18,ITAÚ CORRETORA DE AÇÕES
TELEFÔNICA BRASIL S.A,VIVT3,02.558.157/0001-62,BRADESCO
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.,LAND3,40.337.136/0001-06,ITAÚ CORRETORA DE AÇÕES
TIM S.A.,TIMS3,02.421.421/0001-11,BRADESCO
TOTVS S.A.,TOTS3,53.113.791/0001-22,ITAÚ CORRETORA DE AÇÕES
TPI – TRIUNFO PARTICIPAÇÕES E INVESTIMENTOS S.A.,TPIS3,03.014.553/0001-91,ITAÚ CORRETORA DE AÇÕES
